id,length,text,publisher_pro,isbn_new,year_min,year_max,record,walktrap-npre-unweighted-nimp,walktrap-npre-unweighted-imp,louvain-npre-unweighted-nimp,louvain-npre-unweighted-imp,infomap-npre-unweighted-nimp,infomap-npre-unweighted-imp
2034,2,macmillan pub co;;macmillan publishing company,macmillan pub co;;macmillan publishing company,0--684;0--02,1987,1989,3,7,7,1688,1688,54,37
2062,1,margaret k mcelderry books,margaret k mcelderry books,1--4424,2012,2012,1,7,7,1688,1688,11,10
2064,1,mariner books houghton mifflin,mariner books houghton mifflin,1--306,2006,2006,1,7,7,501,501,43,70
2094,1,maverick books inc,maverick books inc,1--59188;0--670;0--14,2017,2017,1,7,7,1274,1274,16,17
2096,1,mayo clinic scientific press,mayo clinic scientific press,0--19,2015,2015,1,7,7,828,828,60,58
2119,1,meadowbrook press,meadowbrook press,1--4516,2006,2006,1,7,7,1688,1688,8,4
2166,1,modern library,modern library,0--679;0--394;0--375,1985,2003,4,7,7,517,517,9,11
2183,1,morrow,morrow,0--688,1978,1978,1,7,7,832,832,258,258
2192,1,mulberry books,mulberry books,0--688,1989,1989,1,7,7,832,832,258,258
2193,1,mulholland books little brown and company,mulholland books little brown and company,0--316,2014,2016,2,7,7,1274,1274,51,49
2201,1,mysterious press,mysterious press,0--445;0--09;0--89296;0--446,1987,1994,5,7,7,517,517,81,115
2216,1,national braille press,national braille press,0--307,2011,2011,1,7,7,517,517,63,68
2251,1,new american library,new american library,0--451;0--452,1973,2011,18,7,7,1274,1274,52,50
2271,1,new viewpoints,new viewpoints,0--531,1979,1979,1,7,7,1274,1274,96,61
2304,1,north holland,north holland,0--444,1989,1989,1,7,7,1629,1629,255,254
2305,1,north holland pub co,north holland pub co,0--444,1978,1978,1,7,7,1629,1629,255,254
2342,1,o'reilly and associates,o'reilly and associates,0--679,1994,1994,1,7,7,517,517,9,11
2344,1,o'reilly media inc,o'reilly media inc,1--322;1--4919,2014,2017,2,7,7,1907,1907,101,97
2350,1,obsidian published by new american library,obsidian published by new american library,0--451,2016,2016,1,7,7,1274,1274,52,50
2372,1,onyx,onyx,0--451,1992,2002,2,7,7,1274,1274,52,50
2394,1,orbit,orbit,0--356;1--84149;0--316,2001,2014,5,7,7,1274,1274,352,351
2427,2,oxford univ press;;oxford university press,oxford univ press;;oxford university press,1--306;0--19;1--299;1--4237;0--7221;1--280,1952,2019,218,7,7,828,828,120,116
2428,1,oxford university,oxford university,0--19,1988,1988,1,7,7,828,828,60,58
2441,1,paddington press ltd,paddington press ltd,0--7092;0--448,1979,1979,1,7,7,832,832,17,5
2457,1,pantheon books,pantheon books,0--307;0--679;0--394,1975,2011,6,7,7,517,517,9,11
2508,1,penguin,penguin,0--525;0--7181;0--451;0--241;0--14,1958,2012,23,7,7,1274,1274,16,17
2509,1,penguin books,penguin books,0--7181;0--451;1--84614;0--241;0--670;1--4059;1--101;0--14,1968,2019,95,7,7,1274,1274,16,17
2510,1,penguin books australia,penguin books australia,0--670,1989,1989,1,7,7,1274,1274,16,17
2511,1,penguin books ltd,penguin books ltd,0--14,1977,1977,1,7,7,1274,1274,16,17
2512,1,penguin bookspuffin books,penguin bookspuffin books,0--14,1994,1994,1,7,7,1274,1274,16,17
2513,1,penguin compass,penguin compass,0--670;0--14,2003,2003,1,7,7,1274,1274,16,17
2514,1,penguin group,penguin group,0--515;0--553;0--451;0--8037;1--4242;0--452;0--14,1987,2014,6,7,7,1274,1274,52,50
2515,1,penguin group usa,penguin group usa,0--14;1--322,2014,2014,2,7,7,1907,1907,74,75
2516,1,penguin group usa llc,penguin group usa llc,1--4806;0--448,2015,2015,1,7,7,832,832,17,5
2517,1,penguin press,penguin press,0--14;1--59420,2013,2015,2,7,7,1274,1274,16,17
2518,1,penguin publishing group,penguin publishing group,0--698,2015,2015,1,7,7,1274,1274,126,125
2519,1,penguin putnam,penguin putnam,0--14,1984,1984,1,7,7,1274,1274,16,17
2520,2,penguin ran dom house;;penguin random house,penguin ran dom house;;penguin random house,0--525;0--606;0--515;0--553;0--451;0--425;1--5247;0--85752,2016,2019,9,7,7,517,517,53,51
2521,1,penguin random house llc,penguin random house llc,1--101;0--451;0--399;1--5247,2016,2018,8,7,7,517,517,75,101
2522,1,penguin young readers,penguin young readers,1--4806;0--448,2013,2015,2,7,7,832,832,17,5
2525,1,perennial library,perennial library,0--06,1984,1989,2,7,7,832,832,4,8
2526,1,perfectbound,perfectbound,0--06,2003,2003,1,7,7,832,832,4,8
2527,1,pergamon,pergamon,0--444;0--08,1980,1999,3,7,7,1629,1629,255,254
2528,1,pergamon press,pergamon press,1--4831;0--08;1--4832,1964,1995,20,7,7,1629,1629,37,36
2529,1,pergamon press ltd,pergamon press ltd,1--4831;1--4832,1972,1983,2,7,7,1629,1629,37,36
2530,1,perigee books,perigee books,0--399,1984,1988,2,7,7,517,517,21,22
2531,1,perma bound books,perma bound books,0--605,2012,2012,1,7,7,832,832,17,5
2553,1,philomel books,philomel books,0--14;0--399;0--439,2003,2011,2,7,7,1274,1274,257,257
2580,1,pitman publishing,pitman publishing,1--4832,1990,1990,1,7,7,1629,1629,37,36
2586,1,plume,plume,0--452,1990,2012,2,7,7,1274,1274,52,50
2587,1,plume book,plume book,0--452,1992,1992,1,7,7,1274,1274,52,50
2591,1,pockert books,pockert books,1--5011,2017,2017,1,7,7,1688,1688,8,4
2592,1,pocket book,pocket book,1--84739,2011,2011,1,7,7,1688,1688,8,4
2593,1,pocket books,pocket books,0--671;1--4767;0--7432;1--84739;1--5011;1--4516;0--7434,1963,2018,24,7,7,1688,1688,8,4
2594,1,pocket star books,pocket star books,1--5011;1--4767;0--671,1997,2016,5,7,7,1688,1688,8,4
2606,1,portfolio penguin,portfolio penguin,0--525;1--101;0--241;0--399;0--7352;1--322,2011,2018,5,7,7,517,517,21,22
2607,1,portland house,portland house,0--517,1988,1988,1,7,7,517,517,41,41
2614,1,powerkids press,powerkids press,1--4994;1--5081;1--5181,2016,2018,4,7,7,517,517,143,142
2619,1,praeger,praeger,1--4408;0--313;0--06;0--03,1982,2018,14,7,7,832,832,4,55
2639,3,princeton university pres;;princeton university press;;princeton universitypress,princeton university pres;;princeton university press;;princeton universitypress,1--283;1--4008;1--306;0--691;0--297,1969,2019,49,7,7,955,955,123,122
