"Publisher","ID","ISBN","group","walktrap","louvain","infomap"
"ashgate",908742465,"1--4094",214,11,1239,46
"ashgate",835279368,"1--4094",214,11,1239,46
"ashgate",933279532,"1--4724",214,11,1239,46
"ashgate",755919352,"1--4094",214,11,1239,46
"ashgate",874156587,"1--4094",214,11,1239,46
"ashgate",769871184,"1--4094",214,11,1239,46
"ashgate",1019813372,"1--4724",214,11,1239,46
"ashgate",758383423,"0--7546",214,11,1239,46
"ashgate",876043892,"1--4724",214,11,1239,46
"ashgate",868314527,"1--4094",214,11,1239,46
"ashgate",824088402,"1--4094",214,11,1239,46
"ashgate",939502883,"1--4724",214,11,1239,46
"ashgate",40553358,"1--85928",214,11,1239,46
"ashgate",933279250,"1--4094",214,11,1239,46
"ashgate",945771530,"1--4724",214,11,1239,46
"ashgate",933279318,"1--4724",214,11,1239,46
"ashgate",492139579,"0--7546",214,11,1239,46
"ashgate",864858798,"1--4094",214,11,1239,46
"ashgate",690794300,"0--7546",214,11,1239,46
"ashgate",690387841,"0--7546",214,11,1239,46
"ashgate",1050116381,"0--7546",214,11,1239,46
"ashgate",961649008,"1--4094",214,11,1239,46
"ashgate",494485901,"0--7546",214,11,1239,46
"ashgate",613051325,"0--7546",214,11,1239,46
"ashgate publishing company",908741380,"1--4724",215,11,1239,46
"ashgate publishing company",907924808,"1--4724",215,11,1239,46
"ashgate publishing group",960203325,"1--4724",216,11,1239,46
"ashgate publishing limited",898028531,"1--4724",217,11,1239,46
"asm international",709706348,"0--87170",218,1584,156,1333
"asm international",798776052,"0--87170",218,1584,156,1333
"asm press",1048659657,"1--68367",219,1580,157,608
"asme",881462917,"0--7918",220,1568,158,1334
"aspen publishers",20959792,"0--87189",221,1565,159,609
"asq quality press",891385598,"0--87389",222,1562,160,610
"asq quality press",904316024,"0--87389",222,1562,160,610
"asqc quality press",491799355,"0--930011",223,1547,161,611
"association",15457944,"0--942920",224,1542,162,551
"association for computing machinery",906588696,"1--61738",225,1,821,68
"association for computing machinery",490650110,"1--58113",225,1,821,68
"association for computing machinery",610509800,"0--201",225,1,821,68
"association for computing machinery",1047962057,"1--4503",225,1,821,68
"association for consumer research",221018714,"0--915552",226,1517,163,1335
"association for intelligent machinery",493389941,"0--9707890",227,1505,164,1336
"association for the advancement of medical instrumentation",921189068,"1--57020",228,1498,165,612
"association of research libraries",858919652,"1--59407",229,1481,166,613
"association of research libraries",913877604,"1--59407",229,1481,166,613
