Country_code,Publisher_code,Publisher
0,8199,Franciscan Herald Press
0,8201,Scholars' Facsimiles & Reprints
0,8203,University of Georgia Press
0,8204,P. Lang
0,8205,LexisNexis
0,8206,Chemical Publishing
0,8207,Duquesne University Press
0,8211,McCutchan Publishing
0,8212,"New York Graphic Society, Bulfinch Press"
0,8213,World Bank
0,8214,Ohio University Press
0,8216,Carol Communications
0,8218,American Mathematical Society
0,8220,Cliffs Notes
0,8221,Dickenson Publishing
0,8222,Dramatists Play Service
0,8223,Duke University Press
0,8224,Fearon Publishers
0,8225,Lerner Publications
0,8226,"Littlefield, Adams"
0,8229,University of Pittsburgh Press
0,8230,"Watson-Guptill Publications, Billboard Books (also 0-8231 and 0-89820), Back Stage Books"
0,8231,Billboard Books
0,8232,Fordham University Press
