cluster_id,isbn,record,type
914,1--4380,44,1
915,0--7641,9,1
915,1--4380,20,1
916,1--4380,12,1
916,0--7641,6,1
917,1--4380,4,1
918,0--7641,1,1
919,0--9893296,1,1
920,0--9906948,1,1
921,1--63413,1,1
922,1--4000,2,1
922,0--465,59,1
923,0--465,1,1
924,0--465,1,1
925,0--465,1,1
926,0--692,1,1
927,1--84994,3,1
928,0--87233,2,1
929,1--936955,1,1
930,1--4813,1,1
931,1--329,1,1
932,1--940299,1,1
933,1--351,1,1
934,0--89503,1,1
935,1--935950,2,1
936,1--4066,2,1
937,1--78594,3,1
937,1--84990,7,1
938,1--68273,1,1
939,1--78017,7,1
940,1--78017,2,1
941,1--78017,1,1
942,1--4169,1,1
942,1--4424,1,1
942,1--4814,3,1
943,0--8341,3,1
944,0--8070,19,1
945,1--942611,3,1
946,1--4507,1,1
947,1--937356,1,1
948,1--937508,3,1
949,1--59393,7,1
950,1--62724,61,1
951,1--62724,2,1
952,0--9912476,1,1
953,1--943035,2,1
954,1--940761,2,1
955,1--940761,1,1
956,0--8253,3,1
957,0--692,1,1
958,1--5123,1,1
959,1--59298,4,1
960,1--59298,1,1
961,1--936681,3,1
962,1--936681,2,1
963,1--907414,3,1
964,1--4576,1,1
964,1--319,1,1
964,1--137,1,1
965,1--4576,1,1
965,1--319,1,1
965,1--137,1,1
966,1--56700,2,1
967,1--933016,2,1
968,0--87441,1,1
969,0--692,1,1
970,1--61084,3,1
971,1--61084,1,1
972,0--578,1,1
973,0--674,31,1
974,0--674,2,1
975,1--61194,2,1
976,1--59493,8,1
977,1--59493,3,1
978,1--5116,1,1
978,1--5142,2,1
978,1--5089,2,1
978,1--5170,2,1
978,1--5085,1,1
978,1--5121,2,1
978,1--5151,2,1
978,1--4812,1,1
978,1--5078,5,1
978,1--5147,2,1
979,1--62268,1,1
980,0--9909986,1,1
981,1--61194,1,1
982,1--942658,1,1
982,1--934137,2,1
983,0--692,1,1
984,1--5098,5,1
984,1--4472,7,1
985,1--5098,1,1
986,0--9932261,1,1
987,0--646,1,1
988,0--9859441,1,1
988,0--9968367,1,1
989,0--9893821,5,1
990,1--5191,1,1
991,1--934730,1,1
992,1--941631,3,1
993,1--940363,2,1
993,1--941631,2,1
994,1--4900,5,1
995,1--4530,6,1
995,1--4037,1,1
996,1--4530,1,1
996,1--63346,1,1
997,1--4530,1,1
998,1--78139,1,1
999,1--78139,4,1
1000,0--9927871,1,1
1001,0--9836106,1,1
1002,1--4751,1,1
1003,0--9864162,1,1
