F001_a,leader_18,isbn_tag,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,F26x_b_cleaned_pro
1085492208,i,0--06,2017,1,0,1,tokyopop,tokyopop
903003356,i,1--4742,2015,0,1,0,bloomsbury,bloomsbury
245506168,a,0--7020,1989,0,1,0,saunders,saunders
1058638952,i,1--932559,2004,0,0,1,parlor press,parlor press
953200118,i,0--9962600,2015,1,0,1,rainforest books,rainforest books
1033450203,i,0--19,2017,1,0,1,oxford university press,oxford university press
1097252702,i,0--309,2014,1,0,1,national academies press,national academies press
1044520535,i,1--138 ;; 1--317,2017,1,0,1,routledge,routledge
863127721,i,0--19,2014,1,0,1,oxford university press,oxford university press
8641314,a,0--373,1982,0,1,0,harlequin books,harlequin books
1058635165,i,0--08,2016,1,0,1,iste press,iste press
847524754,i,1--4552,2010,1,0,1,international monetary fund,international monetary fund
1035902088,a,0--671,1978,0,1,0,simon and schuster,simon and schuster
191222163,a,0--8223 ;; 1--283,1986,0,1,0,duke university press,duke university press
6564752,i,0--14,1979,0,1,0,penguin books,penguin books
1088676912,i,1--101,2018,1,0,1,ballantine books,ballantine books
931116357,i,1--4071,2015,0,0,1,scholastic,scholastic
1024319305,i,1--4236,2018,1,0,1,gibbs smith education,gibbs smith education
869735788,i,0--415,2014,0,1,0,routledge,routledge
1043368270,i,1--887483,2005,0,0,1,society of economic geologists,society of economic geologists
910090756,i,1--61200,2015,1,0,1,casemate,casemate
1037258484,a,0--393,2001,0,0,1,norton,norton
874173148,i,1--315,2013,1,0,1,routledge,routledge
1025360607,i,1--107,2018,1,0,1,cambridge university press,cambridge university press
7293442,a,0--297,1980,0,1,0,weidenfeld and nicolson,weidenfeld and nicolson
441324507,i,0--262,1983,0,1,0,mit press,mit press
1055568586,i,1--250,2019,1,0,1,picador,picador
878148805,i,1--4831,1972,1,0,1,william heinemann medical books,william heinemann medical books
1022127911,a,1--891662,2004,0,0,1,tora aura productions,tora aura productions
14970714,a,0--553,1987,0,1,0,bantam books,bantam books
1057434758,i,0--8153 ;; 1--351,2018,1,0,1,"routledge, taylor and francis group",routledge taylor and francis group
1086308561,i,0--12,2019,1,0,1,academic press,academic press
45903572,a,0--87348,2000,0,1,0,pathfinder,pathfinder
1001751458,i,1--63240,2017,1,0,1,clanrye international,clanrye international
1019821122,i,1--338,2017,1,0,1,scholastic inc,scholastic inc
885338165,i,1--139,2014,1,0,1,cambridge university press,cambridge university press
797276869,a,0--06,1955,0,1,0,harpertrophy,harpertrophy
13320667,i,0--88038 ;; 0--394 ;; 0--317,1986,1,0,1,tsr inc,tsr inc
1051771321,i,1--316,2018,1,0,1,cambridge university press,cambridge university press
951754358,i,1--78308,2016,1,0,1,anthem press,anthem press
6743074,i,0--684,1980,0,1,0,scribners,scribners
48615366,a,0--439,2001,0,1,0,scholastic,scholastic
925039751,i,0--8018,1984,0,1,0,johns hopkins university press,johns hopkins university press
865181646,i,1--111,2013,1,0,1,wadsworth cengage learning,wadsworth cengage learning
966289935,c,1--68297,2016,1,0,1,new burlington books,new burlington books
967659399,i,1--118,2016,0,1,0,john wiley and sons ltd,john wiley and sons ltd
870426360,i,1--78347 ;; 1--78195,2014,1,0,1,edward elgar,edward elgar
439729387,i,0--19,1988,0,1,0,oxford university press,oxford university press
442128727,i,0--262,1986,0,1,0,mit press,mit press
894508323,i,1--941531,2014,1,0,1,dzanc books,dzanc books
893679140,i,0--7277,2002,1,0,1,thomas telford,thomas telford
1016509372,a,1--4088,2011,0,1,0,bloomsbury,bloomsbury
45858764,a,0--7278,2001,0,1,0,severn house,severn house
45877412,a,0--312,2001,0,1,0,st. martin's paperbacks,st martin's paperbacks
942846504,i,1--4737,2015,1,0,1,cengage learning,cengage learning
10876418,a,0--89838,1984,0,1,0,nijhoff publishers,nijhoff publishers
