F001_a,leader_18,isbn_tag,isbn_tag1,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,source
880459816,i,1--78144,1--78144,2007,1,0,1,pickering and chatto,1
3021287,i,,,1969,0,1,0,penguin books,1
1081033352,a,,,2013,0,1,0,sphere,1
77433509,a,0--665,0--665,1982,0,1,0,g. munro's sons,1
1934624,i,,,1962,1,0,1,museum of modern art film library,1
258078130,a,0--321,0--321,2008,0,1,0,peachpit,1
682034141,a,0--7089,0--7089,1988,0,1,0,thorpe,1
31884011,a,0--590 ;; 0--439,0--590,1994,0,1,0,scholastic,1
28725607,a,0--415,0--415,1992,0,1,0,routledge,1
1061854909,i,1--4549,1--4549,2018,1,0,1,sterling children's books,1
1031100123,i,,,2018,1,0,1,hyperion,1
38065186,a,,,1997,0,1,0,situation press,1
1035594928,a,,,1987,0,1,0,carroll and graf,1
490101343,i,0--471,0--471,1993,0,1,0,j. wiley,1
1043910604,i,1--337,1--337,2019,1,0,1,"4ltr press, cengage learning",1
907881498,i,1--4462 ;; 1--84920,1--84920,2015,1,0,1,sage,1
967417565,i,1--138 ;; 1--315,1--138,2017,1,0,1,"routledge, taylor and francis group",1
439444192,i,0--09,0--09,2004,0,1,0,vintage,1
630687964,a,0--8007,0--8007,1995,0,1,0,spire,1
874997935,i,0--615,0--615,2011,0,1,0,memento pub,1
1057002802,a,,,2003,0,1,0,braille institute press,1
607470465,a,0--7089,0--7089,2002,0,1,0,f.a. thorpe,1
55536625,i,0--394,0--394,2002,0,1,0,beginner books,1
40139315,a,0--373,0--373,1999,0,1,0,harlequin books,1
3068619, ,,,1965,0,1,0,fides,1
826659199,i,1--4059,1--4059,2013,1,0,1,penguin books,1
7433381, ,,,1966,0,1,0,oxford university press,1
2959885,i,0--8161,0--8161,1977,0,1,0,g.k. hall,1
301396460,a,,,1964,0,1,0,barnes and noble,1
1036790428,a,,,1961,0,1,0,university of california press,1
933295151,a,0--8048,0--8048,1979,0,1,0,tuttle,1
918997640,i,94--6300,94--6300,2015,1,0,1,sense publishers,1
843343750,i,1--78035,1--78035,2013,0,0,1,fastprint publishing,1
54435073,a,1--84395,1--84395,2004,0,1,0,linford,1
898638403,i,0--226,0--226,1979,0,1,0,university of chicago press,1
754008038,a,1--4302,1--4302,2008,0,1,0,apress,1
1019320350,a,,,1967,0,1,0,dell,1
41585436,a,0--553 ;; 0--440 ;; 1--4176,0--553,1999,0,1,0,bantam books,1
645035695, ,,,1973,0,1,0,vintage books,1
908740903,a,0--262,0--262,2014,0,2,0,mit press,1
643917939,a,,,1998,0,1,0,pyrczak pub,1
9240729,i,,,1964,0,1,0,thames and hudson,1
14031352,a,0--226,0--226,1961,0,1,0,university of chicago press,1
318391494,a,0--306,0--306,1986,0,1,0,da capo press,1
316835890,a,0--307,0--307,2009,0,1,0,anchor books,1
13282479,a,0--449,0--449,1983,0,1,0,ballantine books,1
697267420,a,1--4084,1--4084,2011,0,1,0,audiogo ltd,1
908146075,i,1--4641,1--4641,2015,1,0,1,sinauer associates,1
946617804,u,,,uuuu,0,1,0,r.m. de witt,1
4082690, ,,,1966,0,0,1,frederick fell inc,1
913219930,i,0--615,0--615,2012,1,0,1,well bred book,1
1033556931,i,,,2002,1,0,1,mai nguyên,1
883906, ,,,1969,0,1,0,pocket books,1
228608131,i,1--4420 ;; 0--06,0--06,2008,1,0,1,harpercollinspublishers,1
610383866,i,,,1961,1,0,1,philadelphia housing association,1
228784703,i,,,1982,0,1,0,university of new mexico press,1
1058132342,i,0--89118,0--89118,2011,1,1,1,soil science society of america,1
604526450,a,,,1970,0,1,0,baker,1
747308896, ,,,1973,0,1,0,scribner,1
779004360,i,,,1971,0,1,0,"comanche springs chapter, dar",1
649659861,a,1--60764,1--60764,2008,0,1,0,sas institute,1
21305606,a,,,1987,0,1,0,e.r. baker,1
911292789,a,0--262,0--262,1982,0,1,0,mit press,1
48804684,a,,,2001,0,1,0,routledge,1
949930298,i,90--04,90--04,2014,0,1,0,brill,1
10834890, ,,,1967,0,1,0,macfadden-bartell corp.,1
486249, ,,,1966,0,1,0,p. smith,1
605205916,i,,,1967,0,1,0,capricorn books,1
10482162,a,0--553,0--553,1983,0,1,0,bantam books,1
301687147,a,,,1970,0,1,0,johnson reprint corp.,1
1035609545,a,,,1998,0,1,0,scholastic.,1
714374210,a,,,1972,0,1,0,university microfilms,1
105197, ,0--8371,0--8371,1970,0,1,0,greenwood press,1
221834425,a,,,1980,0,1,0,"dharma realm buddhist association, buddhist text translation society, city of ten thousand buddhas",1
7357227,a,0--85119,0--85119,1981,0,1,0,chivers press,1
43635368,a,0--321,0--321,1999,0,1,0,addison-wesley,1
1076935532,i,0--429,0--429,2019,1,0,1,crc press,1
34347532,a,0--14,0--14,1996,0,1,0,penguin books,1
860875732,i,1--905686,1--905686,2013,1,0,1,royal collection trust,1
921314792,a,1--4242,1--4242,2014,0,1,0,harpercollins publishers,1
1017903220,i,,,2012,1,0,1,p22 type foundry,1
1036960893,i,,,1974,0,1,0,pocket books,1
862875622,i,0--00,0--00,2013,1,0,1,harpercollins children's books,1
30576766,i,,,1957,1,0,1,naylor company,1
1004769827,i,0--374,0--374,2018,1,0,1,"farrar, straus and giroux",1
9158454,a,0--19,0--19,1982,0,1,0,oxford university press,1
882933612,i,0--9835723,0--9835723,2014,1,0,1,artiqua press,1
23297758,a,,,1991,0,1,0,harper trophy,1
862990653,i,0--19,0--19,2013,0,1,0,oxford university press,1
1066696168,i,,,2018,0,0,1,academic press,1
965609482,i,1--78180,1--78180,2016,1,0,1,hay house,1
317097102,i,,,1966,0,1,0,university of chicago press,1
966297834,i,0--8078,0--8078,1997,1,0,1,university of north carolina press,1
835656608,i,0--495,0--495,2014,1,0,1,"brooks/cole, cengage learning",1
2972206,i,,,1977,0,1,0,collier books,1
897418451,i,0--7897,0--7897,2014,1,0,1,que,1
1051611191,a,0--8028,0--8028,1983,0,0,1,eerdmans,1
965762831,a,,,1990,0,1,0,random house,1
1032308417,i,1--78682,1--78682,2018,1,0,1,oberon books ltd,1
1037216505,a,976--650,976--650,2014,0,0,1,lone pine pub. international,1
906814244,i,1--63430,1--63430,2015,1,0,1,rourke publishing llc,1
1079439021,i,1--351,1--351,2018,1,0,1,routledge,1
18452401,a,0--515,0--515,1987,0,1,0,berkley books,1
689541848,a,0--8129,0--8129,1999,0,1,0,times books,1
816919570,a,,,1964,0,1,0,j. wiley,1
416151629,a,0--7221 ;; 0--19,0--19,1991,0,1,0,oxford university press,1
1062350613,i,,,2018,1,0,1,congressional budget office,1
1053078321,a,0--13,0--13,2005,0,1,0,pearson prentice hall,1
1046997292,i,1--61251,1--61251,2016,1,0,1,naval institute press,1
2068902,i,,,1966,0,1,0,vintage books,1
1051450919,i,1--4729,1--4729,2016,1,0,1,adlard coles nautical,1
898114069,i,0--300,0--300,2015,1,0,1,cleveland museum of art,1
520834148,a,0--201,0--201,1985,0,1,0,harpercollins,1
956380422,i,,,2016,1,0,1,leslie hindman auctioneers,1
757072222,a,,,2008,0,1,0,covington and burling,1
914362189,i,,,2011,1,0,2,white sky books,1
896857277,i,1--4649,1--4649,2012,1,0,1,scholarly editions,1
1043932281,i,0--8161,0--8161,1992,1,0,1,g.k. hall,1
49048521,a,0--374,0--374,1982,0,1,0,farrar straus giroux,1
936365310,i,,,2014,0,1,0,ashgate,1
